,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
29,217,182,182,33535.83233,32834.5962,-152168.24020999947,-0.020910055939559746,2021-07-02,2021-07-02,0 days
30,-223,196,199,31842.615510000003,30604.8,276032.8587300009,0.03887292203152326,2021-07-16,2021-07-19,3 days
31,-240,200,200,30808.81035,29606.064,288659.1240000003,0.03903903903903905,2021-07-20,2021-07-20,0 days
32,224,205,206,34295.77151,35628.4656,298523.476160001,0.03885884560466635,2021-07-25,2021-07-26,1 days
33,199,209,209,40059.58957,39219.1688,-167243.7332299994,-0.020979265614577747,2021-07-29,2021-07-29,0 days
34,196,213,213,39890.12026999999,39048.531200000005,-164951.4577199975,-0.021097681939879154,2021-08-02,2021-08-02,0 days
35,174,220,220,43838.15435999999,42918.4826,-160022.88623999828,-0.020978797429463514,2021-08-09,2021-08-09,0 days
36,168,224,224,44444.46005999999,46174.96,290723.9899200015,0.03893623496975396,2021-08-13,2021-08-13,0 days
37,169,228,228,45947.2013,44983.2642,-162905.36990000049,-0.020979234267311186,2021-08-17,2021-08-17,0 days
38,153,235,235,49538.33884999999,48499.073,-159007.6750499994,-0.020979020979020935,2021-08-24,2021-08-24,0 days
39,152,239,240,49118.9699,48088.502,-156631.1207999994,-0.020979020979020935,2021-08-28,2021-08-29,1 days
40,141,248,249,51808.63687999999,50721.742399999996,-153252.12167999934,-0.020979020979020935,2021-09-06,2021-09-07,1 days
41,-159,253,253,44797.3578,45747.9282,-151140.69360000067,-0.02121934075317289,2021-09-11,2021-09-11,0 days
42,-148,257,257,47056.176719999996,48053.7504,-147640.9046400002,-0.0211996330670019,2021-09-15,2021-09-15,0 days
43,141,261,261,48341.04274999999,47326.8852,-142996.21454999948,-0.020979223705305694,2021-09-19,2021-09-19,0 days
44,-149,266,266,44820.39474,43070.6496,260712.02586000095,0.03903903903903916,2021-09-24,2021-09-24,0 days
45,-165,270,272,42105.20265,42990.297,-146040.5677499999,-0.021021021021021102,2021-09-28,2021-09-30,2 days
46,141,276,276,48248.210009999995,47236.0098,-142720.22960999934,-0.020979020979020935,2021-10-04,2021-10-04,0 days
47,124,280,280,53839.00521999999,55936.628800000006,260105.32392000174,0.03896103896103931,2021-10-08,2021-10-08,0 days
48,120,284,284,57528.82134999999,56321.922999999995,-144827.8019999995,-0.020979020979020935,2021-10-12,2021-10-12,0 days
49,110,288,288,61734.09241999999,60438.9716,-142463.2901999996,-0.020979020979020935,2021-10-16,2021-10-16,0 days
50,103,292,292,64344.87058999999,66851.8136,258215.1300300003,0.038961038961039085,2021-10-20,2021-10-20,0 days
51,106,314,315,64947.30241999999,63584.7814,-144427.22811999923,-0.02097887008745747,2021-11-11,2021-11-12,1 days
52,-116,323,323,57999.0429,59213.2848,-140852.0604000001,-0.020935550645095224,2021-11-20,2021-11-20,0 days
53,-115,327,328,57483.718740000004,58692.0954,-138963.31589999935,-0.021021198462568336,2021-11-24,2021-11-25,1 days
54,-128,340,340,50391.46809,51450.7584,-135589.15967999958,-0.021021223436239023,2021-12-07,2021-12-07,0 days
55,-135,344,344,47093.39946,48083.3508,-133643.43089999995,-0.021021021021021102,2021-12-11,2021-12-11,0 days
56,-132,354,354,46867.255829999995,47852.4432,-130044.73284000091,-0.021020803385065845,2021-12-21,2021-12-21,0 days
57,119,358,359,50870.809989999994,49803.6,-126997.98880999949,-0.020978828334162203,2021-12-25,2021-12-26,1 days
58,125,362,362,47591.28373999999,46592.8652,-124802.31749999893,-0.020979020979020824,2021-12-29,2021-12-29,0 days
59,-126,365,365,46170.71307,47141.2686,-122289.99678000064,-0.021021021021021102,2022-01-01,2022-01-01,0 days
60,-124,369,369,45786.177990000004,46748.650200000004,-119346.55403999999,-0.021021021021021102,2022-01-05,2022-01-05,0 days
61,-134,373,373,41638.06026,42513.3348,-117286.7883599998,-0.02102102102102088,2022-01-09,2022-01-09,0 days
62,-134,385,385,40640.23908,39053.6736,212599.77431999968,0.039039275258121786,2022-01-21,2022-01-21,0 days
63,-155,389,389,36623.68965,37393.557,-119329.43925000007,-0.021021021021021102,2022-01-25,2022-01-25,0 days
64,-148,393,393,37678.85343,38470.8912,-117221.58995999931,-0.021020750312146452,2022-01-29,2022-01-29,0 days
65,140,397,397,38733.284589999996,37920.6982,-113762.09459999955,-0.020979020979020935,2022-02-02,2022-02-02,0 days
66,121,403,403,43883.82998999999,42963.1902,-111397.41458999924,-0.020979020979020824,2022-02-08,2022-02-08,0 days
67,123,407,410,42416.103729999995,44068.679200000006,203266.7828100013,0.03896103896103931,2022-02-12,2022-02-15,3 days
68,-141,416,416,38348.50311,39154.6278,-113663.58129000058,-0.021021021021021102,2022-02-21,2022-02-21,0 days
69,-139,420,420,38290.35132,39093.7542,-111673.0003200002,-0.02098186233095145,2022-02-25,2022-02-25,0 days
70,117,425,425,44465.621199999994,43532.776,-109142.88839999955,-0.020979020979020935,2022-03-02,2022-03-02,0 days
71,-134,431,431,37950.02199,38747.76,-106896.89334000013,-0.02102075224647315,2022-03-08,2022-03-08,0 days
72,-129,435,437,38690.84043,39504.1614,-104918.40513000009,-0.021021021021021102,2022-03-12,2022-03-14,2 days
73,115,443,443,42243.33112999999,41357.10739999999,-101915.72894999976,-0.020979020979020935,2022-03-20,2022-03-20,0 days
74,111,447,448,42925.642759999995,44598.070400000004,185639.468040001,0.038961038961039085,2022-03-24,2022-03-25,1 days
75,106,451,454,46874.587759999995,45891.2048,-104238.59375999951,-0.020979020979020935,2022-03-28,2022-03-31,3 days
76,106,455,455,45555.860349999995,44600.1332,-101307.07789999987,-0.020979236099532894,2022-04-01,2022-04-01,0 days
77,-109,462,465,43400.7558,41706.4224,184682.34059999956,0.03903926023334359,2022-04-08,2022-04-11,3 days
78,-125,466,466,39490.91955,40321.059,-103767.4312500003,-0.021021021021021102,2022-04-12,2022-04-12,0 days
79,-119,470,472,40511.3481,38929.824,188201.36790000027,0.03903903903903905,2022-04-16,2022-04-18,2 days
80,-124,480,480,40385.653920000004,38809.0368,195500.52288000032,0.03903903903903905,2022-04-26,2022-04-26,0 days
81,-135,484,488,38557.51389,39368.0322,-109419.97184999993,-0.021021021021021102,2022-04-30,2022-05-04,4 days
82,-136,488,488,37691.22105,38483.528999999995,-107753.8811999993,-0.02102102102102088,2022-05-04,2022-05-04,0 days
83,-141,492,492,35436.9276,34053.494399999996,195064.08120000095,0.03903930994288585,2022-05-08,2022-05-08,0 days
84,-179,496,496,29074.836059999998,29686.018799999998,-109401.71046000003,-0.021021021021021102,2022-05-12,2022-05-12,0 days
85,-163,500,500,31297.56111,30075.734399999998,199157.7537300002,0.03903903903903905,2022-05-16,2022-05-16,0 days
86,173,518,518,30483.082629999997,29843.5676,-110636.10018999976,-0.020979342468816387,2022-06-03,2022-06-03,0 days
87,-231,529,529,22462.78473,22937.1582,-109580.27157000052,-0.021118195081416546,2022-06-14,2022-06-14,0 days
88,-248,533,533,20448.341190000003,19650.0576,197974.33032000068,0.03903903903903916,2022-06-18,2022-06-18,0 days
89,-255,537,537,20702.78649,19894.5792,206092.85894999962,0.03903857533334387,2022-06-22,2022-06-22,0 days
90,264,543,543,20763.31257,20327.7088,-114999.39527999944,-0.020979492965365387,2022-06-28,2022-06-28,0 days
91,-279,548,548,19233.56718,19637.8662,-112799.42658000061,-0.021020490698179684,2022-07-03,2022-07-03,0 days
92,243,554,555,21616.344749999997,21162.855,-110198.00924999928,-0.020979020979020824,2022-07-09,2022-07-10,1 days
93,-250,560,560,20568.25116,21000.6168,-108091.41,-0.021021021021021102,2022-07-15,2022-07-15,0 days
94,215,565,565,23421.878479999996,22928.687599999997,-106036.03919999964,-0.02105684565057986,2022-07-20,2022-07-20,0 days
95,219,569,570,22471.02858,22002.0486,-102706.61562000001,-0.020870427819107862,2022-07-24,2022-07-25,1 days
96,207,577,578,23319.656359999997,22827.4536,-101885.97131999927,-0.021106775863312777,2022-08-01,2022-08-02,1 days
97,197,588,590,23957.02309,24891.7656,184144.27447,0.039017473351694365,2022-08-12,2022-08-14,2 days
98,203,592,593,24117.133039999997,23612.9236,-102354.51631999973,-0.020906690656958715,2022-08-16,2022-08-17,1 days
99,-227,597,597,21118.92993,21562.8714,-100774.71369000035,-0.021021021021021102,2022-08-21,2022-08-21,0 days
100,-220,601,601,21346.68195,21795.441600000002,-98727.12300000079,-0.021022454499070475,2022-08-25,2022-08-25,0 days
101,-236,605,605,19536.05439,19946.7222,-96917.60315999977,-0.02102102102102088,2022-08-29,2022-08-29,0 days
102,-224,609,613,20112.50736,19326.201599999997,176132.49024000065,0.039095362200528894,2022-09-02,2022-09-06,4 days
103,-237,613,613,19775.54466,19004.9664,182627.04761999962,0.03896622182845089,2022-09-06,2022-09-06,0 days
104,-228,617,617,21340.25838,21787.3122,-101928.27096000023,-0.020948847574356444,2022-09-10,2022-09-10,0 days
105,212,620,620,22417.835439999995,21947.825200000003,-99642.17087999838,-0.020965906421159475,2022-09-13,2022-09-13,0 days
106,-232,625,626,20092.49739,19309.0752,181753.94808000026,0.03899078222052721,2022-09-18,2022-09-19,1 days
107,-263,629,629,18442.89864,18830.5872,-101962.0912800006,-0.021021021021021102,2022-09-22,2022-09-22,0 days
108,-252,633,633,18790.32087,19183.5276,-99088.09596000043,-0.020926025304218276,2022-09-26,2022-09-26,0 days
109,239,638,639,19442.03261,19034.1578,-97482.07958999941,-0.020979020979020824,2022-10-01,2022-10-02,1 days
110,228,644,644,19980.630669999995,19561.456599999998,-95571.68795999938,-0.020979020979020824,2022-10-07,2022-10-07,0 days
111,-230,651,651,19356.204420000002,19762.6326,-93478.48139999976,-0.020997307694273548,2022-10-14,2022-10-14,0 days
