Open,High,Low,Close,Date
28923.63,29600.0,28624.57,29331.69,2021-01-01 00:00:00
29331.7,33300.0,28946.53,32178.33,2021-01-02 00:00:00
32176.45,34778.11,31962.99,33000.05,2021-01-03 00:00:00
33000.05,33600.0,28130.0,31988.71,2021-01-04 00:00:00
31989.75,34360.0,29900.0,33949.53,2021-01-05 00:00:00
33949.53,36939.21,33288.0,36769.36,2021-01-06 00:00:00
36769.36,40365.0,36300.0,39432.28,2021-01-07 00:00:00
39432.48,41950.0,36500.0,40582.81,2021-01-08 00:00:00
40586.96,41380.0,38720.0,40088.22,2021-01-09 00:00:00
40088.22,41350.0,35111.11,38150.02,2021-01-10 00:00:00
38150.02,38264.74,30420.0,35404.47,2021-01-11 00:00:00
35410.37,36628.0,32531.0,34051.24,2021-01-12 00:00:00
34049.15,37850.0,32380.0,37371.38,2021-01-13 00:00:00
37371.38,40100.0,36701.23,39144.5,2021-01-14 00:00:00
39145.21,39747.76,34408.0,36742.22,2021-01-15 00:00:00
36737.43,37950.0,35357.8,35994.98,2021-01-16 00:00:00
35994.98,36852.5,33850.0,35828.61,2021-01-17 00:00:00
35824.99,37469.83,34800.0,36631.27,2021-01-18 00:00:00
36622.46,37850.0,35844.06,35891.49,2021-01-19 00:00:00
35901.94,36415.31,33400.0,35468.23,2021-01-20 00:00:00
35468.23,35600.0,30071.0,30850.13,2021-01-21 00:00:00
30851.99,33826.53,28850.0,32945.17,2021-01-22 00:00:00
32950.0,33456.0,31390.16,32078.0,2021-01-23 00:00:00
32078.0,33071.0,30900.0,32259.9,2021-01-24 00:00:00
32259.45,34875.0,31910.0,32254.2,2021-01-25 00:00:00
32254.19,32921.88,30837.37,32467.77,2021-01-26 00:00:00
32464.01,32557.29,29241.72,30366.15,2021-01-27 00:00:00
30362.19,33783.98,29842.1,33364.86,2021-01-28 00:00:00
33368.18,38531.9,31915.4,34252.2,2021-01-29 00:00:00
34246.28,34933.0,32825.0,34262.88,2021-01-30 00:00:00
34262.89,34342.69,32171.67,33092.98,2021-01-31 00:00:00
33092.97,34717.27,32296.16,33526.37,2021-02-01 00:00:00
33517.09,35984.33,33418.0,35466.24,2021-02-02 00:00:00
